Nome,Marca,Sabor,Peso,Preço,Preço original,Preço médio
Creatina 1100mg,DUOM,,120 caps,,"0,00","35,00"
Whey Protein Concentrado ,DUX,Morango , 900g,,"199,90","169,95"
Whey Protein Concentrado ,DUX,Coco , 900g,,"199,90","169,95"
Whey Protein Isolado ,DUX,Morango , 900g,,"288,9","246,69"
Whey Protein Isolado ,DUX,Coco , 900g,,"288,9","246,69"
Whey Protein Isolado ,DUX,Cappuccino , 900g,,"288,9","246,69"
Whey Protein ISO 100 Hydrolyzed ,DYMATIZE ,Cookies & Cream ,"2,3Kg",,"0,00","339,95"
Whey Protein ISO 100 Hydrolyzed ,DYMATIZE ,Chocolate,"2,3Kg",,"0,00","339,95"
Creatina Creadop Serie Sport ,ELEMENTO PURO,,300g,,149,"144,47"
Creatina Creapure ,ELEMENTO PURO,,300g,,289,"256,94"
Wheydop 3W ,ELEMENTO PURO,Baunilha Caramelizada , 900g,,299,"252,36"
Wheydop 3W ,ELEMENTO PURO,Cookies & Cream , 900g,,299,"252,36"
Wheydop 3W ,ELEMENTO PURO,Banoffee , 900g,,299,"252,36"
Wheydop 3W ,ELEMENTO PURO,Chocolate Maltado , 900g,,299,"252,36"
Wheydop 3W ,ELEMENTO PURO,Morango com Leite Condensado  , 900g,,299,"252,36"
Wheydop X ,ELEMENTO PURO,Leite em Pó , 900g,,299,"259,06"
Wheydop X ,ELEMENTO PURO,Doce de leite , 900g,,299,"258,55"
Wheydop X ,ELEMENTO PURO,Leite Condensado , 900g,,299,"257,50"
Wheydop X ,ELEMENTO PURO,Creme de Avelã , 900g,,299,"259,00"
Whey Juicedop ,ELEMENTO PURO,Tangerina com Chá Branco , 450g,,289,"274,45"
Whey Juicedop ,ELEMENTO PURO,Morango com Hibisco , 450g,,289,"279,50"
Whey Juicedop ,ELEMENTO PURO,Manga Crazy , 450g,,289,"259,50"
Wheydop ISO ,ELEMENTO PURO,Baunilha Caramelizada , 900g,,349,"277,36"
Wheydop ISO ,ELEMENTO PURO,Morango com Leite Condensado  , 900g,,349,"297,66"
Wheydop ISO ,ELEMENTO PURO,Chocolate belga , 900g,,349,"255,05"
Wheydop ISO,ELEMENTO PURO,Café Mocha , 900g,,349,"299,45"
Wheydop ISO ,ELEMENTO PURO,Banana e Canela , 900g,,349,"299,45"
Wheydop ISO ,ELEMENTO PURO,Açai e Morango , 900g,,349,"299,45"
Wheydop ISO ,ELEMENTO PURO,Arroz doce , 900g,,349,"255,05"
Super Ômega 3 TG 1000mg,ESSENTIAL,, 90 caps,,165,"163,05"
Super Ômega 3 TG 1000mg,ESSENTIAL,,180 caps,,260,"210,55"
Super Ômega 3 TG 1000mg,ESSENTIAL,, 60 caps,,125,"143,05"
Whey ,ESSENTIAL,Vanilla , 450g,,237,"199,05"
Whey ,ESSENTIAL,Vanilla , 900g,,410,"285,55"
Whey ,ESSENTIAL,Cappuccino , 448g,,237,"199,05"
Whey ,ESSENTIAL,Espresso , 462g,,237,"199,05"
H.I Whey ,ESSENTIAL,, 375g,,237,"199,05"
Super Ômega 3 TG 500mg,ESSENTIAL,,120 caps,,145,"153,05"
Immuno Veggie ,ESSENTIAL,Chocolate ," 512,4g",,255,"208,05"
Whey ,ESSENTIAL,Cacao , 450g,,237,"199,05"
Whey ,ESSENTIAL,Cacao , 900g,,410,"285,55"
Creatina Creapure ,EVERLAST,, 200g,,"159,9","152,94"
Creatina Alcalina Kre,INTERNATIONAL PROTEIN,, 200g,,"0,00","148,50"
Creatina ,NUTRIFY,, 300g,,"113,32","113,03"
Creatina Creapure ,OPTIMUM NUTRITION,, 300g,,"228,15","187,58"
